role,title,company,city_clean,region,country,job_count
Data Scientist,(Senior) AI Research Engineer (f/m/d) for the Research & Innovation Team,SAP,Potsdam,,Germany,1
Data Scientist,Data & AI Engineer (m/w/d),Würth Industrie Service GmbH & Co. KG,Bad Mergentheim,,Germany,1
Data Scientist,AI-/ LLM-Engineer (m/w/d),DAHAG Rechtsservices AG,Nürnberg,Mittelfranken,Germany,1
Data Scientist,KI Experte / AI Specialist (m/w/d),Mitteldeutsche Verlags- und Druckhaus GmbH,Magdeburg,,Germany,1
Data Scientist,Verstärkung gesucht (m/w/d) !,Gundlach Verpackung GmbH,Oerlinghausen,,Germany,1
Data Scientist,Spezialist Finance & Digitalisierung - Außenhandel (m/w/d),Haas Zeitarbeit GmbH,München,,Germany,1
Data Scientist,Scientist (all genders) Structural Biophysics,Merck KGaA,Darmstadt,,Germany,1
Data Scientist,AI Process Automation Specialist (m/w/d),Schmidbaur Schaltanlagen GmbH,Eching,Niederbayern,Germany,1
Data Scientist,093/2026 Postdoctoral Scientist (m/f/d) in systems,Otto-von-Guericke- Universität Magdeburg,Magdeburg,,Germany,1
Data Scientist,wiss. Mitarbeiterin bzw. Mitarbeiter (m/w/d) mit dem Schwerpunkt datengetriebene Methoden,Technische Universität Dresden Arbeitsstätte Dresden,Dresden,,Germany,1
Data Scientist,Senior Scientist (f/m/d) - Capillary Electrophoresis,Coriolis Pharma Research GmbH,Planegg,,Germany,1
Data Scientist,Aktuar/in Risiko Manager - KI (m/w/d),Lantenhammer Consulting Silvia Lantenhammer,Frankfurt Am Main,,Germany,1
Data Scientist,Aktuar/in Risiko Manager - KI (m/w/d),Lantenhammer Consulting Silvia Lantenhammer,München,,Germany,1
Data Scientist,Projektleiter KI (m/w/d),FERCHAU GmbH Niederlassung Osnabrück,Osnabrück,,Germany,1
Data Scientist,(Senior) Research Manager (m/w/d) - innoLAB,DHC Business Solution GmbH & Co. KG,Saarbrücken,,Germany,1
Data Scientist,Full-Stack / Backend Developer (m/w/d),thinkers GmbH,Leipzig,,Germany,1
